ID	group	Sc	Ti	V	Cr	Mn	Co	Ni	Rb	Sr	Y	Zr	Nb	Ba	La	Ce	Pr	Nd	Sm	Eu	Gd	Tb	Dy	Ho	Er	Yb	Lu	Hf	Ta	Pb	Th	U
b93a	KREEP-rich	28.1	12843	31	808	1164	28.9	69	0.96	213	270	1261	88.6	1025	84.9	211	28.5	133	36.7	3.04	41.8	7.19	49.1	10.3	29.8	27.2	3.96	27.5	3.83	0.8	16	1.56
b94a	KREEP-rich	32	15904	48	1594	1438	35.7	161	3.44	197	246	1138	77.1	896	77.1	196	26.3	121	33.2	2.89	39.2	6.58	44.7	9.53	27.3	25.5	3.58	25	3.39	3.09	14.9	2.31
b98a	KREEP-rich	30.4	12484	44	1565	1284	39.6	102	1.7	177	264	1285	87.4	935	86.4	224	29.4	133	37.6	2.79	42.5	7.2	48.5	10.3	29.7	27.6	3.91	27.7	3.66	0.71	16.6	2.72
b96a	KREEP-rich	27.9	12896	35	1039	1174	34.2	127	1.11	199	256	1202	84.8	979	82.4	206	27.9	127	35.6	3.02	40.9	6.96	46.9	9.95	28.2	26.3	3.78	26.5	3.71	0.18	16	2.03
g3a	KREEP-rich	25.4	11344	31	963	1091	27.9	73	0.58	189	223	1072	75.6	893	72.5	184	24.8	112	30.9	2.6	36	6.13	40.8	8.58	24.8	22.8	3.21	23.3	3.3	0.2	13.9	1.59
g7a	KREEP-rich	23.6	16506	35	1302	1259	82.7	306	1.05	187	247	1152	88.8	1130	80.2	208	27.3	124	34.9	2.82	39.3	6.68	45.3	9.42	27.5	25.4	3.54	25.5	4	5.87	15.4	2.15
g8a	KREEP-rich	25.9	12118	50	1794	1139	28.9	103	4.02	172	211	994	72.6	834	68.7	184	23.4	108	29.9	2.45	34	5.77	39.4	8.15	23.6	21.6	3.05	22	3.12	0.73	12.7	3.97
g11a	KREEP-rich	23	15405	32	1264	1046	19.6	60	24.2	174	308	1490	102	1293	99.4	258	33.9	153	42.4	2.7	48.1	8.28	56.8	11.8	34.6	31.9	4.4	33	4.32	7.93	20.1	4.82
g21a	KREEP-rich	26.4	12064	31	1173	1107	19.9	36	0.9	198	302	1481	101	1099	100	259	34.3	156	43	3.14	49.4	8.32	55.8	11.8	33.8	30.9	4.46	31.7	4.23	0.85	19.2	2.5
g30a	KREEP-rich	24.2	11227	33	1247	1033	18.4	43	1.44	199	269	1315	87.1	1017	88.3	226	30	137	38.7	3.01	43.4	7.41	49.2	10.4	30.1	28	3.92	29.1	3.7	0.78	16.1	3.56
